Column,Meaning,Clarify more
Champion … Skill Description,Champion identity & base info.,"MERGED vertically across every row the champion owns, so the identity block spans all of that champion's steps. Origin/Class un-merged into separate slots. Range is the unit's attack range in HEXES, from tft-set9 → Champions → Range — a number, never a position. (It held 'Frontliner'/'Backliner' for 35 champions until round 4; see 'Note - Range'.)"
Step,Order of actions in the skill.,Rows sharing a Step are one action — their cells are vertically merged.
(Merged cells),One Action producing multiple Effects.,"When Step/Trigger/Action are merged across rows, those rows are the same attack — e.g. Kayle's Pierce Projectile both Damages and shreds MR."
Skill Type,Active or Passive.,Active = cast on cooldown/mana; Passive = always-on / auto.
Trigger (When),The event that fires the Action. Use event that are life-cycle of the skill. ,"e.g. On Cast, While Channeling, After Cast, After Leap, On Kill, On Death, Game Start, On Attack, On 3rd Attack, On 10th Attack, On 2nd Cast, On 3rd Cast, On Bonus-HP Expire, On Shield Expire, When Transformed, After Summon, After Whirlwind, After Slash, After Shielding Allies, On Enemy Knocked Up, After Knock Back, On Ally Attack Chilled Enemy, On Enemy Cast, On Spears Lethal, On Projectile Hit."
Condition (Only if),A state gate that must be true to do the Action.,"Lvl 1-5 / Lvl 6-8 / Lvl 9+, If Target Wounded, If Already Transformed, If Ally Hit, If Ionia Active, Every 2/2/0 casts, If Empowered, If Already 3 Soldiers, If Target at Edge, If Target Not at Edge, If Ally Below 50% HP, If Kills Target, If Target Below 66% HP, If Target Marked, If 4-Star, If Killed By Skill, If Target NOT Below 66% HP. (Trigger = when; Condition = only-if.)"
Action Source,WHO performs the action. Defaults to Self.,"Self = the champion itself (almost every row). Summon = a unit it spawned acts on its own (Zed's Shadow, Azir's Sand Soldier). Ally = another unit entirely performs it (Sejuani's passive rides on an ALLY's attack). This is separate from Aim Target (what the action points at) and Effect Recipient (who the effect lands on) - three different questions, three columns. A source can also be a NON-champion actor: 'Step 1 Projectile' (Vel'Koz's split fires off his own first-hit bolt when it lands) and 'Child of the Star' (Soraka's summon)."
Action,The Action the hero perform when the skill is working.,See the 'Action Types' tab for what each does.
Collision,The geometry of the hitbox the Action projects into the world.,"ONLY an action that PROJECTS something has a collision. A self-cast, a melee Cast or a Leap projects no hitbox — its Collision is None. Values: First-Hit / Pierce-All / Area / Target-Only / Flank-Pair / Self / None. 'Self' means something WAS projected and it collides with the caster (Poppy's returning shield) — that is not the same as None. Detailed per Action in the 'Action Model' tab."
Skill Range,The range (in hexes) the aim target must be within for the skill to fire.,"The skill does NOT cast the instant mana is full - the aim target must also be inside this range. Defaulted to the hero's auto-attack Range for now, to be refined per skill. Sits just before Aim Target."
Aim Target,Who the Action aim at. This doesn't specify WHO the Effect was apply to though.,"ABSOLUTE, never relative to the Action Source — 'Self' always means the champion, so a summon's own AOE is aimed at 'Summon' (Zed's shadow), NOT at 'Self'. Values: Current / Farthest / Farthest (within N hex) / Clustered / Self / Summon / Away from enemies / Lowest-HP Ally / Lowest-HP Allies / Lowest-HP enemy / Adjacent (both sides) / Knocked-up enemy / Nearest N enemies / Nearest enemy to the healed ally / Nearest enemy to owner / Step N Aim target (re-aims at whatever an earlier step aimed at — e.g. Yasuo's dash and slam both return to the enemy his Step 2 whirlwind picked)."
Effect Recipient,Who the Effect lands on.,"Aimed enemy / First hit enemy / Enemies in area / Enemies in path / All enemies / Allies in path / Adjacent allies (left & right) / Self / Grabbed enemies / 2 lowest-HP allies. If the recipient is exactly the Aim Target, write 'Same to Aim Target' rather than restating it — the cell then only ever carries NEW information."
Effect Category,Each Effect get separate into their own category.,e.g. Attack / Status / Buff / Debuff / Movement / Summon. See the 'Effect Types' tab.
Effect Detail,This specify what the Effect does.,"e.g. Status→Stun, Debuff→MR. Full list in 'Effect Types'."
Amount,The number that the Effect was applied.,"Numbers taken from tft-set9 → Champions → Skill Description, same per-star format (e.g. 200/300/450% AP). Scales this row's Effect Detail, not the whole skill."
Scaling,How the Amount behaves. The Amount value could be static or could be change dynamically depend on the condition.,"stacking / decaying / falls-off per hit / +30% if Wounded / per spin / burst, etc."
Effect Cadence,"How often Effect is re-applies. e.g. damge once, damage over time, heal over time, etc...","Once / Every 0.5s / Every spin — the tick INTERVAL, not just 'Over Time' (the user's call: a periodic effect must say how often it ticks; pair it with Effect Duration for the total). This is the APPLICATION time of the effect - how the effect is dealt out, not how long it lasts. A permanent buff is applied ONCE and then never expires: that is Cadence = Once with Duration = Permanent, NOT a cadence of its own. ('Perm' was previously used here and was a category error.)"
Effect Duration (s),"How long the Effect lasts, in seconds.","Numeric seconds; per-star when it varies - e.g. Stun 1.5/2/8, Shred 3. 'Permanent' if it lasts the whole combat and never falls off (Viego's stacks, every Ionia bonus). Blank / em-dash if the effect is instant and has nothing to expire."
AOE (hex),Area radius in hexes.,For area actions only.
Cast (s),Channel time of the Action.,Seconds.
